"destino" "tempo" "distancia" "destino.1" "tempo.1" "distancia.1" "destino.2" "tempo.2" "distancia.2" "destino.3" "tempo.3" "distancia.3" "destino.4" "tempo.4" "distancia.4" "destino.5" "tempo.5" "distancia.5" "destino.6" "tempo.6" "distancia.6" "destino.7" "tempo.7" "distancia.7" "destino.8" "tempo.8" "distancia.8" "destino.9" "tempo.9" "distancia.9" "destino.10" "tempo.10" "distancia.10"
"56" 41 0.1 5 206 0.1 5.8 206 0.1 5.8 206 0.1 5.8 206 0.1 5.8 136 0.1 6.7 206 0.1 5.8 206 0.1 5.8 206 0.1 5.8 206 0.1 5.8 206 0.1 5.8
"57" 158 0.1 9.2 158 0.1 9.2 158 0.1 9.2 158 0.1 9.2 158 0.1 9.2 222 0.2 7.8 158 0.1 9.2 61 0.2 6.3 61 0.2 6.3 61 0.2 6.3 61 0.2 6.3
"58" 238 0.1 5.4 238 0.1 5.4 221 0 3.6 181 0.1 6.4 221 0 3.6 155 0.2 7.1 238 0.1 5.4 238 0.1 5.4 238 0.1 5.4 238 0.1 5.4 238 0.1 5.4
"59" 123 0 1 123 0 1 3 0.1 5 123 0 1 123 0 1 123 0 1 123 0 1 3 0.1 5 123 0 1 3 0.1 5 123 0 1
"60" 186 0.1 14.4 186 0.1 14.4 147 0.1 2 186 0.1 14.4 147 0.1 2 147 0.1 2 147 0.1 2 147 0.1 2 124 0.1 5 147 0.1 2 147 0.1 2
"61" 222 0.1 4.1 222 0.1 4.1 152 0.1 10.3 222 0.1 4.1 222 0.1 4.1 152 0.1 10.3 222 0.1 4.1 158 0.1 3 158 0.1 3 158 0.1 3 158 0.1 3
"62" 183 1.2 87.4 1 1.3 100.7 117 1 68.5 1 1.3 100.7 117 1 68.5 117 1 68.5 1 1.3 100.7 1 1.3 100.7 1 1.3 100.7 1 1.3 100.7 117 1 68.5
"63" 1 0.2 17.5 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2 183 0.2 12.2
"64" 36 0.1 9.2 16 0 3 16 0 3 16 0 3 16 0 3 16 0 3 36 0.1 9.2 131 0.2 6.3 131 0.2 6.3 36 0.1 9.2 36 0.1 9.2
"65" 124 0.1 10.2 60 0.2 7.8 186 0.2 6.7 124 0.1 10.2 186 0.2 6.7 186 0.2 6.7 186 0.2 6.7 186 0.2 6.7 186 0.2 6.7 186 0.2 6.7 186 0.2 6.7
"66" 29 0 2 29 0 2 29 0 2 29 0 2 29 0 2 50 0.1 7.1 50 0.1 7.1 50 0.1 7.1 50 0.1 7.1 50 0.1 7.1 50 0.1 7.1
